"cow","cluster","RC1","RC2","RC3","RC4","RC5","RC6"
5137,4,0.0779481325630672,1.02879310216862,-0.160800266153743,-0.483878019758912,-1.35017487476428,0.681512355004777
5139,3,-0.944268410456724,-0.662871769506662,-0.0174464986813288,-0.742293531322119,-0.00581686377690449,0.898726502478988
5140,5,1.36254109480533,-0.760026514538151,-0.798704577974963,0.116554069744926,-0.976293287679805,1.40621466635655
5145,5,0.856819119335602,-1.32456678906919,0.22611467360804,-0.921394986598099,-1.48458524097534,0.877278248092159
6004,8,-1.24136149258773,0.496671185032854,-0.657776980163118,-1.4305929590758,0.60950634705416,-0.363043856935845
6005,6,0.432674756107406,-0.0536195731516743,0.627790565889904,-0.375076033650705,-0.543648215125916,-0.547770387264454
6011,2,2.59098814194597,-0.931136232652233,-0.249338967460807,-1.09238893601585,1.39585880945279,-0.661157136221007
6022,3,-0.364075009487261,-2.12143771849897,2.85160057197032,0.965595456369556,0.997490435919128,-0.332129130403562
6025,7,-1.27718815528615,-0.512016073655823,2.08558915918099,2.51505785874564,-1.04251748889637,-0.108865161518819
6027,2,1.21674237471667,0.113893697121472,0.454514025666343,-0.115551990653012,1.06049329796847,0.195503932746695
6028,6,0.658458106488806,0.0402097628232891,1.10757625945636,0.43381914432967,1.3623176315632,-2.11678017601722
6029,6,-0.85880997390403,0.463614049455586,1.57184220027691,0.105835947127912,-1.26394155866044,-1.39392399102147
6033,8,0.72285539729922,0.715359384494547,-1.93429207382716,0.379110479914466,-0.779981146340258,-0.906313406320134
6041,2,0.0701256999767624,0.094429883794161,0.103312990512912,-1.2175482071182,1.45939933408821,0.00302395749177212
6043,8,-0.839127950820226,-0.0445376865060578,-1.05546151956885,-0.772716247006125,-0.602187638118169,-0.933209856626091
6050,8,-0.0169162917513863,0.519457337739709,-0.867540938002406,0.0168717053887855,0.317778332670804,-1.29046471055167
6055,5,1.04091515452224,-1.77835617202643,-1.14124840251744,-0.900855602127309,0.116183218708259,0.578172927632447
6062,3,-0.567142721113229,-0.784703969226027,1.35315483719862,0.935636971787944,0.1984317794102,1.2230942756383
6067,6,-0.521556978586877,-1.2358140481127,0.895902052239229,0.641421601625567,0.167790099066467,-1.04639436221711
6068,2,0.0375208941777845,0.555543885160283,0.132256444987343,0.483186307371312,1.59372943350942,-0.723561825358845
6069,6,0.388268807360237,0.911554682814749,0.963051688539285,1.05665973782496,-0.627858772917427,-1.80071407416435
6079,3,-0.273287879619566,-0.342250623064611,1.07693237759004,-0.224054642034525,-0.357457559921713,0.0650084419245562
6084,4,-0.893215300678978,0.776175759112996,0.639009667371426,-0.620320156557954,0.707448874347162,-0.0143157632716002
6086,4,-0.862353040572675,1.65108625207744,-1.14672678371873,-1.07492904438783,0.282006237565047,0.146515744726274
6087,8,-1.12015482063374,0.937405162731511,-1.26344022816504,-0.666480219194001,0.710703125255612,-0.3112192167151
6090,5,0.249423346156159,0.150003483438725,-0.801574564297183,0.412264168444746,-2.18335977413807,1.38459431569547
6092,4,0.0709706315039281,1.50988960828327,-0.330506597081693,0.449043295519838,0.448950819899371,1.0908815194596
6093,2,0.759771341827282,-0.286973914526611,0.597516747413663,0.015320689923915,1.09066327511725,-0.29838286100357
6096,4,-0.786416050314388,1.48613598221904,1.0971488606716,-0.550442327191058,0.553035254456857,0.459160175581348
6125,8,-1.41078489127557,-0.733341369577908,-2.27913348934172,-0.761739551135299,-0.231576895283434,-1.68245406024207
6126,7,-0.482074723468433,-0.636692387677882,0.815116255854345,2.63085586646556,-0.0851247688062335,1.086753301512
6129,3,-1.01221014442971,0.389137809053193,0.0748923325184974,-1.23347005139394,-0.0917631289234161,-0.364893689124918
6130,2,1.01166439352702,0.983376736768416,-0.679392691747114,-0.18392264994995,1.57630309581441,1.43180149034895
6131,3,-0.696224904147618,0.16272224042117,0.585162142530721,-0.522386859095391,-0.627948713848128,0.467468948088017
6134,6,0.200864140026349,-2.32750045018217,1.76949337876673,-0.00480944670555861,0.243516204448602,-2.30970218846725
7010,6,-0.458631649621088,-0.243133614556169,1.17452040452456,-0.380738407959503,0.312111122134347,-1.1458413105529
7018,2,0.456342481029735,-0.479785291448593,-0.632294617016346,-0.933365975027752,1.76687242500864,0.945224905164553
7019,6,0.702629417302217,0.290527576280273,0.679584792368237,-0.784622129409511,-0.992873983414073,-0.882942720748829
7022,4,-0.0876019263205113,0.695869440841318,0.817864369191087,1.28802927954414,0.993452950960135,0.222328938231345
7023,2,0.175927315565621,-0.278475726875465,-0.256130427110847,-0.880793839971669,0.995489005533996,1.15512750143017
7024,3,-0.618758947160516,-1.28231394580172,0.389534381295857,-0.949206174397903,-1.15092011389187,0.583512836627501
7025,2,-0.505175102260064,-0.581294792671683,0.569116052040215,-1.34560544170003,2.0019179104658,1.14760816816215
7027,1,3.4369892582819,0.0201733500260017,1.38984105059901,-0.605850404547457,0.0287906908999885,0.438471774285253
7029,3,-0.110597630963021,-0.326175650856898,0.400935958452063,0.268056374985452,-0.887155087432025,0.521014094602436
