"variable","RC1","RC2","RC11","RC6","RC3","RC5","RC8","RC7","RC9","RC10","RC4"
"slp_total_actor",-0.0296319799665889,-0.0335206575722377,0.0412530219687101,0.0358996297553041,-0.0231347400317835,-0.0446713810606785,-0.878948945507451,-0.0226427292331044,-0.117735411701961,-0.013285777867244,0.185774282969715
"slp_median_non_nutritive_per_meal",-0.155718005851245,0.508720858268316,0.224797734641643,0.528284179271237,0.285505448175906,0.059894447722911,-0.146533646718835,-0.117008839793479,0.133684537944498,-0.00234990016587387,-0.0505733108787817
"slp_water_duration",-0.0623286115748791,0.10613642867946,-0.0187958380488445,-0.0232295490586439,-0.156985298670662,-0.0397902262474589,-0.0290766851909177,0.839166194791208,-0.0684463146660295,0.0127112432908739,-0.00887901661268548
"slp_total_reactor",-0.0404027808837903,-0.0460197250563092,-0.0325739426696989,0.691426527297725,-0.116780577217525,0.043158179210509,0.356805378661021,0.0306959561626135,-0.225283423014981,-0.0999791953850813,0.150944048039814
"slp_median_visit_per_meal",-0.145970242445768,0.708730114832117,0.157053230079085,0.342924134837411,0.131781031252661,0.157451595638246,-0.0963930531904754,-0.0881035786878336,0.244923459315739,-0.0447191506114154,-0.0826400991838835
"slp_feed_visits",-0.128303270281427,0.224184669406428,-0.0092413194329294,0.758459329411124,-0.100517782221972,-0.0268912264562471,-0.161938382666521,0.0382832903831863,0.119153155623237,0.286209345947636,0.245707894427265
"slp_water_visits",0.120504895816528,0.0878146259254082,0.0127930535933886,0.0637391791617097,-0.0736307242765065,0.143842266341412,0.127257068909212,0.848845773404047,-0.0207056874197345,-0.100534270956464,0.0148671239080249
"slp_feed_duration",-0.110681142879364,0.362083730956124,0.0708592385631987,0.211374199137296,-0.261003354960708,-0.0738769783955789,0.0550778421781034,0.0644224998342826,0.504127932522878,0.518269981705283,0.132836421020777
"slp_water_intake",0.128491987369106,-0.0842978917961856,0.130008811971584,0.176798542849384,0.27434583546024,-0.395267201749947,-0.0224626655163166,0.445851544164342,0.225176099518055,0.207246299418615,-0.0608412277119063
"slp_median_feeding_pct_per_meal",-0.0546898765034581,0.347265950260251,-0.519021000982883,0.0207944663615225,-0.0870045519348135,-0.0122356132457103,0.054767654185261,0.131011763969404,-0.200304015887967,0.347859947124291,0.0246933304419362
"slp_median_meal_duration",0.112716703433802,0.861188068131367,0.08955492599447,0.0167462006371495,-0.0527030888332328,-0.0339484726196181,0.00480566538798347,0.0457550268600554,-0.0381373080784878,0.0319921100215576,-0.0486712878933562
"slp_median_intake_per_meal",0.130137530330439,0.770985893494732,0.0327244573037213,-0.0835393847463186,-0.0371538926835013,-0.0441966185658611,0.106124753683062,0.129214514536856,-0.147968879982444,0.159093022843292,0.0739671897976734
"slp_total_meals",-0.10877717218453,0.615728719566376,0.342671738735729,0.0662710294203945,-0.212745450616331,-0.0119267486995176,0.0401563670872632,0.143680633403079,0.10809541331782,0.0599185905047403,-0.0452549586573684
"slp_median_pct_feed_remaining",-0.402959658484342,0.175978386455425,0.301787637989022,0.275020929265946,0.0258134228326713,-0.0643601925560535,-0.0771664425673656,0.136495274318227,-0.090756584944435,0.0482544147558283,0.507247801926921
"slp_feed_intake",-0.00439481106527402,0.099258357343917,0.0126058453193493,0.163836046858733,0.218157874630645,0.0712480076025368,-0.0766818882566568,-0.0833639721507867,-0.0799199751699657,0.839538009353214,0.0349216405648715
