"cow","cluster","RC1","RC2","RC11","RC6","RC3","RC5","RC8","RC7","RC9","RC10","RC4"
5100,6,0.676859242981433,0.110445586573497,-1.98862848481764,-1.23365321611492,-1.0503131630302,-0.707792022166687,1.2515998544507,-0.482474315479343,0.254970319020454,0.696788740005618,0.453039518516615
5118,2,-0.627768796849638,0.160324073682444,1.57335977093369,0.0107658602550675,0.158158504101969,0.562950452597441,-0.580450536132424,0.716143395640654,0.483869083809125,-0.416291717909727,-1.05537139595686
5120,3,-0.386094719828197,0.382916705961788,0.856887237094081,1.65175121992929,0.398051966548383,0.234360083031932,2.02760751231842,-0.530341221887872,-0.383915849616888,0.530463075425029,0.447311590774545
5123,8,-0.0347496055958897,3.05212639285269,2.01469151915668,-0.382506240568164,2.73794757058967,0.286860612312198,0.145142713484389,-0.435329298968158,0.917596015858926,-0.780164101038482,0.406150156319937
5124,3,-0.0212807027043998,0.932164035306076,0.363098571020266,-0.0014905605853314,-1.56743774305455,2.35476592623804,0.834265901110695,-0.746851604951663,1.42795586164106,0.151238252755026,0.858549535754225
5133,8,0.13195751795273,1.78642788526262,0.999630608063788,-2.13063950167073,0.0616727279721001,-0.7813346438702,1.16370434699779,-0.0864449352147763,-0.0198787145415364,-0.267684417846003,1.31200169223524
5135,1,-0.0717547904412422,-0.68406956404072,1.39112223222968,0.565674164866221,1.10194004435699,-1.09750965684607,0.626040006020992,0.51677139197192,-0.998794422586371,0.741332022102775,-0.113860762639057
5137,5,-0.304105854048394,-1.09340609321561,1.95174020615472,0.00608211659543308,-0.861844464591974,-0.21068030820346,-0.36805365327609,-1.23690869884227,-2.42599855740906,-0.889876983223637,1.70505589831394
5139,7,-0.955864681198768,0.363288112287145,-0.653225936862348,0.220509232957761,0.262389323135606,-1.09956776479775,-0.643703584391123,1.19504202881451,0.342117617711135,-0.0609947954906171,0.726719528037296
5140,5,1.19707046649097,-1.59437553772637,-0.0803191517576401,-0.794744006528178,-0.972283443861589,0.133526700510804,-0.899489657164349,-0.518727748705794,-0.71045734052984,-1.1218573740707,0.12818363221105
5145,5,0.602284197378193,-0.405057597550998,-0.743818244367583,0.203598123682721,0.139965296627846,-0.752675848864548,-1.33385652848637,0.476930781536007,-1.85327033331474,-0.81174820664725,1.47741990599757
