"cow","slp_feed_intake","slp_feed_duration","slp_feed_visits","slp_water_intake","slp_water_duration","slp_water_visits","slp_total_meals","slp_median_meal_duration","slp_median_visit_per_meal","slp_median_intake_per_meal","slp_median_feeding_pct_per_meal","slp_number_of_non_nutritive_visits","slp_median_pct_feed_remaining","slp_median_non_nutritive_per_meal","slp_total_actor","slp_total_reactor"
"4044",6.41573856090518,1296.38895693177,0.171908343811866,13.8701992064284,0.233161416735834,0.243543443419056,0.200672646276714,0.258573094835256,0.286093375992621,0.260137274887238,5.04961725434446,0.327463835200821,11.5066087291317,0.35383033189677,0.40772207202118,0.401674969762199
"4057",4.60438417634318,1286.36012974286,0.183767190214181,10.990798130529,0.170015308194591,0.207407487423583,0.212374087240522,0.265058957305036,0.322599736701317,0.266943228744808,3.77050536829226,0.358306895131569,10.4163463854687,0.384191175041511,0.371305124464749,0.394845752292669
"4072",5.15129432693886,1777.22466587076,0.202135553750346,10.4117838068837,0.197830774219404,0.254010957259666,0.192285367978922,0.30094381068818,0.305267988147832,0.285080234228561,6.70405171872988,0.376266838060322,11.8148057877025,0.380867222820623,0.454887321847106,0.463538063472749
"4080",6.18456716082015,1420.19678640763,0.171744881604915,10.1799698227312,0.214036616397506,0.245041809982517,0.177059000792745,0.260675154356179,0.293730180471803,0.255711040101291,7.97868728096997,0.306749359636527,10.1436684588149,0.356454502573721,0.305400303346931,0.356810960999728
"5005",8.43002814618057,1611.8030949552,0.269063715520173,11.1102829547719,0.252578237932796,0.321708169349703,0.224048536130645,0.285660170071893,0.342764815815067,0.280115769120136,6.9183666205882,0.527424503212236,15.9684145645381,0.391539165802678,0.445973955178765,0.48990783230739
"5041",6.04510170725783,2010.67088749922,0.261828536553696,11.0911192792739,0.192367300663757,0.288568451151441,0.184405327842346,0.272204673546828,0.312280845429982,0.260136116670609,5.06911317211701,0.447294434540673,12.2237927941961,0.39038814811491,0.364860630877287,0.488939861712925
"5042",5.99472080120377,1104.42314597879,0.187953370665993,11.984662405003,0.275857126767171,0.341388999763629,0.184658741501072,0.269194018551283,0.318375006300584,0.289486104756435,5.99332123694776,0.322342436979566,8.83008512595851,0.3716823614206,0.291553530786547,0.354656155654292
"5061",6.23541761932417,1620.81696331061,0.21230487916683,10.5463697835436,0.200798425714325,0.200099956704004,0.228805475128694,0.277672780098888,0.310426676145656,0.313188591670297,4.89653262740383,0.391178478010581,9.63288935632996,0.37288117936083,0.340867279160432,0.392107007502465
"5064",7.64172454276308,1566.17128868778,0.153876379265168,13.4074778270588,0.201572295593109,0.235585830519483,0.182664225989676,0.275353221877841,0.293783971933348,0.264883935470117,5.56791002093207,0.292380700754607,12.1298823678622,0.383531552709693,0.362457725460324,0.401827675479004
"5096",4.37766809875358,1388.97070264968,0.180670863716409,9.55331322831949,0.200722534006812,0.241357391116501,0.188948981367387,0.28028434125133,0.320780671811377,0.315583738010973,5.07922396358136,0.362418993872518,11.5608638278305,0.373307971236368,0.361847238622639,0.506967480176359
