"cow","variable","intercept"
"8083","feed_intake",63.8702118354211
"8145","feed_intake",54.7960070556612
"8146","feed_intake",63.5600926111315
"8154","feed_intake",51.5584219218972
"9010","feed_intake",56.6691531912463
"9012","feed_intake",57.5081068006858
"2007","feed_duration",20579.8930632255
"2051","feed_duration",21279.1694760288
"2063","feed_duration",20595.6160673322
"3067","feed_duration",20766.1434647445
"3117","feed_duration",21036.2150931945
"3131","feed_duration",19841.3010250827
"3150","feed_duration",23970.6916602563
"4001","feed_duration",19419.9451050015
"4008","feed_duration",20137.897820175
"4026","feed_duration",22834.2859589112
"4044","feed_duration",18857.7970566925
"4057","feed_duration",23819.2657939138
"4072","feed_duration",19272.0107665551
"4080","feed_duration",19800.7267715655
"5005","feed_duration",21603.769022498
"5041","feed_duration",24661.5303763066
"5042","feed_duration",18627.7940809097
"5061","feed_duration",20683.3914655339
"5064","feed_duration",20891.6331230264
"5096","feed_duration",18239.1505638402
"5100","feed_duration",21978.0665462016
"5118","feed_duration",23169.1715312756
"5120","feed_duration",21793.6896430287
"5123","feed_duration",24853.9752032403
"5124","feed_duration",24370.092423851
"5133","feed_duration",21019.9767239358
"5135","feed_duration",20304.9662018796
"5137","feed_duration",18404.2127223923
"5139","feed_duration",20506.7874811152
"5140","feed_duration",19311.9310389042
"5145","feed_duration",17871.2851719481
"6004","feed_duration",20962.0144089288
"6005","feed_duration",21117.6035019582
"6011","feed_duration",22904.5404387163
"6022","feed_duration",23210.9262477824
"6025","feed_duration",21678.4633565972
"6027","feed_duration",22608.0394192135
"6028","feed_duration",22739.1639801847
"6029","feed_duration",20912.4975621837
"6033","feed_duration",20142.1890120447
"6041","feed_duration",23196.378431411
"6043","feed_duration",18975.387943264
"6050","feed_duration",20658.4773990231
"6055","feed_duration",19959.4351558281
"6062","feed_duration",22620.6657772223
"6067","feed_duration",21662.8761492231
"6068","feed_duration",24028.9760145733
"6069","feed_duration",20277.0212483844
"6079","feed_duration",20813.9777797855
"6084","feed_duration",21981.2729226947
"6086","feed_duration",21313.6491391189
"6087","feed_duration",22559.2458375032
"6090","feed_duration",17708.5107642937
"6092","feed_duration",22576.1462669087
"6093","feed_duration",24326.5780315614
"6096","feed_duration",23560.8919331389
"6125","feed_duration",21196.406346417
"6126","feed_duration",21678.1079340806
"6129","feed_duration",21376.3491247748
"6130","feed_duration",22975.2970837722
"6131","feed_duration",20822.8417581156
"6134","feed_duration",20748.9468324372
"7010","feed_duration",20993.3629190759
"7018","feed_duration",21998.0664422514
"7019","feed_duration",19965.2094522346
"7022","feed_duration",23810.5348032847
"7023","feed_duration",22771.4285350502
"7024","feed_duration",18346.6742437422
"7025","feed_duration",24218.0776933182
"7027","feed_duration",20736.0568070013
"7029","feed_duration",18892.3809506954
"7030","feed_duration",18526.5426921844
"7033","feed_duration",20055.0063692747
"7039","feed_duration",18971.5929439528
"7043","feed_duration",21535.4070807614
"7045","feed_duration",19696.1207053142
"7048","feed_duration",19799.1048343716
"7051","feed_duration",21715.1344076456
"7060","feed_duration",24760.8645347028
"7064","feed_duration",20571.2156631609
"7065","feed_duration",24133.370192264
"7068","feed_duration",23291.5076803518
"7078","feed_duration",20558.8190289637
"7109","feed_duration",19306.471142055
"7110","feed_duration",18790.4344219028
"7114","feed_duration",25717.5224855193
"7115","feed_duration",22492.0417530923
"7116","feed_duration",21101.0352810986
"7119","feed_duration",21352.6439480282
"7128","feed_duration",17670.5238755898
"7136","feed_duration",22485.2026372736
"7138","feed_duration",23140.9149027969
"7139","feed_duration",20784.7809896634
"7143","feed_duration",20681.0448663533
"7146","feed_duration",20492.1025805791
"7150","feed_duration",23166.1272940666
"7153","feed_duration",21982.0820076346
"7159","feed_duration",23314.4748431912
"7163","feed_duration",20707.9554851947
"7169","feed_duration",20724.8270052354
"8015","feed_duration",20998.6645171701
"8083","feed_duration",20431.3853102268
"8145","feed_duration",18053.4354335271
"8146","feed_duration",21577.558393187
"8154","feed_duration",21783.0800300029
"9010","feed_duration",19323.9397688038
