"","date","total_cows","missing_cow","double_detection_bins","negative_visit_bins","cows_disappeared_after_noon","bins_never_visited","bins_low_traffic","long_dur_feeder","large_intake_feed_visit","low_daily_feed_intake_cows","high_daily_feed_intake_cows","long_dur_drinker","large_intake_water_visit","low_daily_water_intake_cows","high_daily_water_intake_cows"
"273","2021-04-13",48,NA,"8",NA,NA,NA,NA,NA,NA,"8154, 33.3",NA,NA,"101",NA,NA
"274","2021-04-14",48,NA,"8","3; 8",NA,NA,NA,NA,"22",NA,NA,NA,"101",NA,NA
"275","2021-04-15",48,NA,"6; 8","4; 6; 8; 25; 30; 104",NA,NA,NA,NA,NA,"5100, 32.4; 8154, 32.8000000000001",NA,NA,"101; 102",NA,NA
"276","2021-04-16",48,NA,NA,"7; 25; 30",NA,NA,NA,NA,"22","5120, 34.5; 8154, 30.1",NA,NA,"101",NA,NA
"277","2021-04-17",48,NA,"8; 14","6; 30",NA,NA,NA,NA,"25","7045, 21",NA,NA,"103","7045, 54.2; 9010, 44.7",NA
"278","2021-04-18",48,NA,NA,"30",NA,NA,NA,NA,NA,"6125, 34.2; 7153, 32.1; 8154, 34.3; 9012, 33.7",NA,NA,"101; 103",NA,NA
"279","2021-04-19",48,NA,NA,"103",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"280","2021-04-20",48,NA,NA,"30",NA,NA,NA,NA,"1","8154, 33.9",NA,NA,"102",NA,NA
"281","2021-04-21",48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"102; 103",NA,NA
"282","2021-04-22",53,NA,"4","3; 5; 6","4026, 07:36:57; 6064, 10:36:40; 6087, 10:34:22; 7025, 10:38:50; 7078, 10:43:31",NA,NA,NA,NA,"4026, 17.5; 6064, 15; 6076, 33; 6087, 18.8; 6112, 28.7; 7025, 17.7; 7078, 14.3; 7150, 28.1",NA,NA,"101","4026, 39; 6064, 43.7; 6087, 33.5; 7025, 35.8; 7078, 33.4; 7150, 56.6",NA
"283","2021-04-23",48,NA,NA,"6; 103",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"284","2021-04-24",48,NA,NA,"30; 103",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"285","2021-04-25",48,NA,NA,"12; 103",NA,NA,NA,NA,NA,"6125, 31.8",NA,NA,NA,"6125, 58.3",NA
"286","2021-04-26",48,NA,"4","6; 103",NA,NA,NA,NA,"1; 3; 9",NA,NA,NA,"101",NA,NA
"287","2021-04-27",48,NA,NA,NA,NA,NA,NA,NA,"15; 19; 20; 22; 24; 28",NA,"5064, 75; 6017, 84.2; 6025, 75.5; 6045, 79.7; 6076, 76.6; 6112, 75.2",NA,NA,NA,NA
"288","2021-04-28",48,NA,"5; 7; 20","2; 103",NA,NA,NA,NA,"4",NA,"6062, 77.2",NA,NA,NA,NA
"289","2021-04-29",48,NA,NA,"103; 104",NA,NA,NA,NA,"23","9010, 30.6",NA,NA,"103",NA,NA
"290","2021-04-30",48,NA,NA,"103",NA,NA,NA,NA,NA,NA,"6017, 80.7; 6029, 77.6999999999999; 7123, 76.9",NA,"101; 103",NA,NA
"291","2021-05-01",48,NA,NA,"30; 103",NA,NA,NA,NA,NA,NA,"5064, 78.1; 6045, 75.7; 6046, 76.6; 6062, 75.6",NA,"101",NA,NA
"292","2021-05-02",48,NA,NA,NA,"4044, 11:36:11; 5064, 11:54:29; 5118, 10:25:45; 6025, 11:17:20; 6041, 11:26:53; 6086, 10:24:09; 6112, 11:36:54; 7060, 10:43:00; 7116, 11:53:24; 7143, 11:55:10; 8083, 11:34:50",NA,NA,NA,"14","4008, 29.6; 4044, 32.5; 5064, 24.6; 5100, 29.6; 5118, 28.8; 5120, 15.4; 6041, 30.5; 6061, 28.3; 6076, 33.3; 6086, 19.5; 6093, 29.3; 6112, 28.1; 6125, 30.7; 7045, 26.6; 7048, 25.3; 7060, 26.8; 7064, 27.5; 7109, 29.5; 7110, 29.7; 7114, 26.7; 7115, 30.5; 7116, 20.5; 7128, 34.2; 7136, 30.5; 7139, 27.4; 7143, 26.6; 7147, 24.6; 7150, 23.8; 7154, 28.9; 7163, 31.9; 8083, 18.8; 8145, 24.3; 8146, 34.8; 8154, 21.6; 9010, 28; 9012, 27.7",NA,NA,NA,"4008, 53.4; 5064, 46.3; 5100, 43.8; 5118, 50.7; 5120, 36.1; 6041, 58; 6061, 44.6; 6086, 33.9; 6093, 54; 6112, 53.1; 7045, 46.6; 7048, 42.5; 7060, 51.9; 7064, 57.2; 7109, 47.1; 7110, 45; 7114, 55.8; 7115, 58.3; 7116, 34.5; 7139, 53.1; 7143, 48.6; 7150, 41.1; 7154, 55.7; 8083, 42.8; 8145, 53; 8154, 39.8; 9010, 59.7; 9012, 51",NA
"293","2021-05-03",48,NA,"1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12; 13; 14; 15; 16; 17; 18; 19; 20; 21; 22; 23; 24; 25; 26; 27; 28; 29; 30; 101; 102; 103; 104; 105","30; 103; 105",NA,NA,NA,NA,"13; 22",NA,"4008, 75.1999999999999; 5064, 97.8; 5118, 92.9; 5120, 81.4; 6017, 86.1; 6025, 78.4; 6045, 88; 6061, 79.5; 6062, 84.1; 6086, 76.6; 6112, 76.4999999999999; 7064, 77.4; 7109, 75.6; 7114, 80.6; 7116, 77.2; 7136, 82.2; 7147, 77.8; 7154, 78.7",NA,NA,NA,"5064, 180.7; 5118, 191.2; 6025, 186.5"
"294","2021-05-04",48,NA,"105","103",NA,NA,NA,NA,NA,NA,NA,NA,"101",NA,NA
"295","2021-05-05",48,NA,"8; 19","3; 6; 23; 25; 103",NA,NA,NA,NA,"21; 25","7045, 27.1; 8145, 33.6",NA,NA,"101; 102; 103",NA,NA
"296","2021-05-06",48,NA,NA,NA,NA,NA,NA,NA,"9","8154, 31.8",NA,NA,"102",NA,NA
"297","2021-05-07",48,NA,"20","6; 103",NA,"104",NA,NA,NA,NA,NA,NA,"101; 102; 103",NA,NA
"298","2021-05-08",53,NA,"12; 25","103","4044, 10:13:05; 5100, 10:33:07; 5120, 07:08:29; 6061, 08:07:04; 7048, 09:26:35","104",NA,NA,"25","4044, 14; 5100, 12.8; 5120, 9.69999999999999; 6046, 27.9; 6061, 20.4; 7028, 0; 7048, 15.7; 7162, 32; 8018, 32.8; 8021, 24.4; 8024, 30.8",NA,NA,"101; 103","4044, 22; 5100, 28; 5120, 16.3; 6061, 42; 7028, 29.2; 7048, 19.1; 7162, 49; 8021, 47.5",NA
"299","2021-05-09",48,NA,"19; 20","25; 30; 103",NA,"104",NA,NA,NA,NA,NA,NA,"101",NA,NA
"300","2021-05-10",48,NA,NA,"15; 103",NA,"104",NA,NA,"20",NA,NA,NA,"101",NA,NA
"301","2021-05-11",48,NA,"25","1; 3; 6; 28; 30; 103",NA,"104",NA,NA,"1; 15",NA,"7162, 77.4",NA,"103",NA,NA
"302","2021-05-12",48,NA,NA,"6; 11; 25; 103",NA,"104",NA,NA,"8; 25",NA,NA,NA,"101; 103",NA,NA
"303","2021-05-13",48,NA,"8","6; 23; 25; 103",NA,NA,NA,NA,NA,NA,NA,NA,"102; 103",NA,NA
"304","2021-05-14",48,NA,"3; 8; 12; 13","3; 5; 6; 103",NA,NA,NA,NA,"3",NA,"6076, 79.0999999999999",NA,"102; 103",NA,NA
"305","2021-05-15",48,NA,NA,"6",NA,NA,NA,NA,"15","8145, 35",NA,NA,"101; 102",NA,NA
"306","2021-05-16",48,NA,NA,"6; 103",NA,NA,NA,NA,NA,NA,NA,NA,"103; 105",NA,NA
"307","2021-05-17",48,NA,NA,"6; 28; 103",NA,NA,NA,NA,NA,NA,NA,NA,"103",NA,NA
"308","2021-05-18",48,NA,NA,"25; 103",NA,NA,NA,NA,NA,"8145, 34.8",NA,NA,NA,NA,NA
"309","2021-05-19",48,NA,"8","102; 103",NA,NA,NA,NA,"8; 11",NA,NA,NA,NA,NA,NA
