"","date","total_cows","missing_cow","double_detection_bins","negative_visit_bins","cows_disappeared_after_noon","bins_never_visited","bins_low_traffic","long_dur_feeder","large_intake_feed_visit","low_daily_feed_intake_cows","high_daily_feed_intake_cows","long_dur_drinker","large_intake_water_visit","low_daily_water_intake_cows","high_daily_water_intake_cows"
"92","2020-10-14",48,NA,NA,"13",NA,NA,NA,NA,NA,"7039, 34.4",NA,NA,"101; 102",NA,NA
"93","2020-10-15",48,NA,"105","13",NA,NA,NA,NA,"19",NA,NA,NA,"102",NA,NA
"94","2020-10-16",48,NA,"5; 24","6; 13; 30; 103",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","2020-10-17",48,NA,"5","5; 13; 30",NA,NA,NA,NA,"9; 26",NA,"5123, 76.8; 5135, 75.9; 7019, 76.1",NA,"101",NA,NA
"96","2020-10-18",48,NA,"5","5; 6; 7; 13; 103",NA,NA,NA,NA,NA,NA,"5123, 77; 6069, 75.7; 7027, 76.1",NA,"102",NA,NA
"97","2020-10-19",48,NA,NA,"7; 10; 12; 13",NA,NA,NA,NA,"12",NA,"7027, 95.1000000000001",NA,"102; 105",NA,NA
"98","2020-10-20",48,NA,"101","1; 2; 6; 12; 13",NA,NA,NA,NA,"12",NA,NA,NA,"101; 102",NA,NA
"99","2020-10-21",48,NA,NA,"1; 12; 13","5133, 08:01:39",NA,NA,NA,"7","5133, 19.4",NA,NA,NA,"5133, 38.2; 7039, 57.1",NA
"100","2020-10-22",52,NA,NA,"12; 13","7029, 09:04:44; 7039, 11:41:50; 7051, 11:40:53; 8015, 10:41:07",NA,NA,NA,"9","4044, 29.7; 5061, 31.1; 5067, 23.6; 5114, 21.9; 7029, 18; 7039, 27.1; 7051, 20; 8015, 28",NA,NA,"101; 102","4044, 48.5; 5061, 38.3; 5067, 42; 5114, 26; 5137, 59.4; 7029, 27.8; 7039, 49.6; 7051, 34.5; 8015, 48.5",NA
"101","2020-10-23",48,NA,"2; 4; 7; 8","2; 4; 5; 6; 8; 12; 13; 30; 104",NA,NA,NA,NA,"6","7023, 21.6","6030, 75.1; 6126, 113.2",NA,"101","7023, 30.7",NA
"102","2020-10-24",48,NA,"2; 4; 5; 14; 15; 16; 104","2; 3; 4; 5; 9; 11; 12; 13; 28; 103",NA,NA,NA,NA,NA,"4001, 25.3; 7023, 32.9",NA,NA,NA,"4001, 34.7; 7023, 56.1",NA
"103","2020-10-25",48,NA,"2; 4; 7; 8; 19; 20","2; 4; 6; 7; 8; 9; 11; 12; 13; 19; 20; 30; 103; 104",NA,NA,NA,NA,NA,NA,"5042, 76.5; 5135, 76; 7027, 86.1999999999999",NA,"102","4001, 53; 7023, 24.2",NA
"104","2020-10-26",48,NA,"2; 4; 8; 9; 12; 16; 29","2; 4; 5; 6; 7; 8; 9; 11; 12; 13; 16; 18; 20; 21; 27; 30; 103; 104",NA,NA,NA,NA,"12; 28","4001, 29.6; 6028, 34.6; 7023, 34.6",NA,NA,"102","7023, 58.6",NA
"105","2020-10-27",48,NA,NA,"12; 13; 103",NA,NA,NA,NA,"12; 16",NA,"5123, 79.4",NA,"102","4001, 52.8",NA
"106","2020-10-28",48,NA,NA,"12; 13; 103",NA,NA,NA,NA,"21",NA,"5067, 75.2; 5123, 78.1",NA,"102",NA,NA
